number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lambda_mono,params_learning_rate,params_num_layers,params_weight_decay,user_attrs_optimal_epochs,state
0,,2026-02-28 11:13:10.402474,2026-02-28 11:13:10.564625,0 days 00:00:00.162151,GELU,48,0.13983262570062224,0.0010077884037241504,3,0.00037433451816435136,,FAIL
1,0.15079324148595333,2026-02-28 11:13:38.867506,2026-02-28 11:14:56.682447,0 days 00:01:17.814941,SiLU,128,1.187712695504684,0.001554877207999427,2,0.0017973709075085945,35.0,COMPLETE
2,,2026-02-28 11:14:56.707070,2026-02-28 11:16:14.063413,0 days 00:01:17.356343,SiLU,64,0.3895080177194897,0.001044508296542849,2,0.00012925675117754287,,FAIL
3,0.1296891708672047,2026-02-28 11:16:32.130799,2026-02-28 11:18:36.323077,0 days 00:02:04.192278,SiLU,64,0.35546443160331653,0.0034485837349005374,3,0.00013365546583606703,69.0,COMPLETE
4,0.14331059366464616,2026-02-28 11:18:36.359067,2026-02-28 11:21:46.282265,0 days 00:03:09.923198,GELU,64,0.5074065905745597,0.001191732815303609,2,0.0010627137170340494,151.0,COMPLETE
5,0.1449301029741764,2026-02-28 11:21:46.303293,2026-02-28 11:23:33.207277,0 days 00:01:46.903984,SiLU,96,0.15719880645044484,0.0026209351614796934,2,0.00021023006029286475,64.0,COMPLETE
6,0.13120281055569652,2026-02-28 11:23:33.230457,2026-02-28 11:25:45.829820,0 days 00:02:12.599363,SiLU,64,1.0772500847057058,0.002110752021122895,3,6.446116800398867e-05,80.0,COMPLETE
7,0.14148384816944598,2026-02-28 11:25:45.861256,2026-02-28 11:28:12.999279,0 days 00:02:27.138023,SiLU,48,0.07021261144030566,0.002880330987254938,3,0.0008408346871861127,100.0,COMPLETE
8,0.1481581375002861,2026-02-28 11:28:13.027859,2026-02-28 11:29:23.972836,0 days 00:01:10.944977,GELU,96,1.0731664609738774,0.0018247102858344427,2,0.0013965438605557192,26.0,COMPLETE
9,0.12812844954431057,2026-02-28 11:29:23.995016,2026-02-28 11:31:44.798214,0 days 00:02:20.803198,GELU,64,0.9904967571497437,0.0017645137445331124,3,0.000287623413275004,83.0,COMPLETE
10,0.15003842890262603,2026-02-28 11:31:44.822459,2026-02-28 11:33:13.873223,0 days 00:01:29.050764,SiLU,128,0.4423841458144269,0.000820125813677018,3,0.001229906861458718,43.0,COMPLETE
